                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.98591,                 1.1082,                 1.0882,                0.48605,                0.75053,                0.65096,                0.46929,                  0.949,                 1.0456,                 1.1221,               0.002872,               0.002872,               0.002872
                     74,                0.98818,                 1.1042,                 1.0875,                0.48615,                0.74971,                0.65087,                0.46974,                0.94732,                 1.0447,                 1.1214,               0.002773,               0.002773,               0.002773
                     75,                0.98279,                 1.1039,                 1.0857,                0.48712,                0.74765,                0.65084,                0.47031,                0.94592,                 1.0438,                 1.1206,               0.002674,               0.002674,               0.002674
                     76,                0.96817,                 1.0951,                 1.0797,                0.48715,                0.74707,                 0.6511,                0.47083,                0.94456,                 1.0427,                 1.1199,               0.002575,               0.002575,               0.002575
                     77,                0.96117,                 1.0881,                  1.074,                0.48749,                0.74793,                0.65147,                0.47134,                0.94262,                 1.0419,                  1.119,               0.002476,               0.002476,               0.002476
                     78,                0.96427,                 1.0863,                 1.0747,                0.48716,                0.74626,                0.65177,                0.47165,                0.94099,                 1.0409,                  1.118,               0.002377,               0.002377,               0.002377
                     79,                0.94674,                  1.083,                 1.0691,                0.48633,                 0.7493,                0.65213,                0.47198,                0.93922,                   1.04,                 1.1169,               0.002278,               0.002278,               0.002278
                     80,                0.94949,                 1.0816,                 1.0738,                0.48712,                0.74731,                0.65216,                0.47335,                0.93733,                 1.0391,                 1.1159,               0.002179,               0.002179,               0.002179
                     81,                0.94249,                   1.07,                 1.0658,                0.48892,                0.74475,                0.65633,                0.47509,                0.93565,                 1.0381,                 1.1151,                0.00208,                0.00208,                0.00208
                     82,                0.93376,                 1.0637,                 1.0659,                0.48838,                0.74312,                 0.6524,                 0.4752,                 0.9341,                 1.0371,                 1.1144,               0.001981,               0.001981,               0.001981
                     83,                0.93023,                 1.0649,                 1.0592,                0.48983,                0.74487,                0.65687,                0.47602,                0.93244,                 1.0363,                 1.1135,               0.001882,               0.001882,               0.001882
                     84,                0.92172,                 1.0546,                 1.0589,                0.48773,                0.74979,                0.65709,                0.47646,                0.93073,                 1.0354,                 1.1126,               0.001783,               0.001783,               0.001783
                     85,                0.92101,                 1.0521,                 1.0577,                0.48894,                0.74782,                0.65683,                0.47627,                0.92902,                 1.0346,                 1.1115,               0.001684,               0.001684,               0.001684
                     86,                0.90993,                 1.0435,                 1.0528,                 0.4886,                0.74808,                0.65695,                0.47686,                0.92732,                 1.0339,                 1.1108,               0.001585,               0.001585,               0.001585
                     87,                0.89703,                 1.0399,                 1.0485,                0.48846,                0.74833,                0.65698,                0.47765,                0.92566,                 1.0327,                   1.11,               0.001486,               0.001486,               0.001486
                     88,                0.89348,                 1.0423,                  1.044,                0.48871,                0.74922,                  0.657,                0.47803,                0.92396,                  1.032,                 1.1091,               0.001387,               0.001387,               0.001387
                     89,                0.88927,                 1.0325,                 1.0418,                0.48832,                0.74828,                0.65697,                0.47815,                0.92216,                 1.0311,                 1.1081,               0.001288,               0.001288,               0.001288
                     90,                0.79408,                0.91575,                 1.0266,                0.48818,                0.74716,                0.65727,                0.47909,                 0.9201,                   1.03,                 1.1071,               0.001189,               0.001189,               0.001189
                     91,                 0.7671,                 0.8975,                 1.0125,                0.48633,                0.75176,                 0.6576,                0.47992,                0.91778,                 1.0289,                  1.106,                0.00109,                0.00109,                0.00109
                     92,                0.75612,                0.89319,                 1.0071,                 0.4878,                0.74816,                0.65749,                0.48039,                0.91562,                 1.0277,                 1.1049,               0.000991,               0.000991,               0.000991
                     93,                0.74516,                0.88752,                 1.0007,                0.48794,                 0.7487,                0.65719,                0.48059,                0.91327,                 1.0265,                 1.1036,               0.000892,               0.000892,               0.000892
                     94,                0.73478,                0.88211,                0.99448,                0.48846,                 0.7485,                0.65737,                0.48082,                0.91067,                 1.0256,                 1.1023,               0.000793,               0.000793,               0.000793
                     95,                0.72781,                0.87704,                0.99301,                0.48839,                0.74838,                0.65749,                0.48131,                0.90846,                 1.0245,                 1.1012,               0.000694,               0.000694,               0.000694
                     96,                0.71431,                0.86942,                0.98579,                0.48795,                0.74899,                0.65753,                0.48195,                0.90611,                 1.0236,                    1.1,               0.000595,               0.000595,               0.000595
                     97,                0.70516,                0.86687,                0.98029,                 0.4855,                0.75379,                0.65758,                0.48238,                0.90412,                 1.0228,                 1.0992,               0.000496,               0.000496,               0.000496
                     98,                0.69548,                0.86057,                0.97636,                0.48683,                0.75267,                0.65787,                0.48283,                0.90184,                 1.0219,                  1.098,               0.000397,               0.000397,               0.000397
                     99,                0.68946,                0.85874,                0.97403,                0.48549,                0.75491,                0.65836,                0.48284,                0.89944,                 1.0211,                 1.0971,               0.000298,               0.000298,               0.000298
